-107 or(and(or(!$MARS $RBBP8) $HSPE1 !$LSM1) and(!$DCK $PRKAG1) and(!$HIST3H2A !$MGST3 !$PNRC1) $ADRA2A $AQP1 $ELN !$RNF7 !$UQCRB)  [score=-107, penalized score=-224.236053466796875, complexity=14, complexity penalty=4.66666698455810547, uniformity penalty=112.569389343261719, inconsistency penalty=0]
-107 or(and(or(!$MARS $RBBP8) $HSPE1 !$LSM1) and($EFNA3 $ID1) and(!$HIST3H2A !$MGST3 !$PNRC1) $ADRA2A $AQP1 $ELN $FAS !$RNF7 !$UQCRB)  [score=-107, penalized score=-224.56939697265625, complexity=15, complexity penalty=5, uniformity penalty=112.569389343261719, inconsistency penalty=0]
-78 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $EFNA3) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(!$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-78, penalized score=-225.4666748046875, complexity=32, complexity penalty=10.6666669845581055, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-86 or(and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1) and(or(!$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and($ADRA2A !$H6PD !$SCFD1) and(!$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-86, penalized score=-232.133331298828125, complexity=28, complexity penalty=9.33333396911621094, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-86 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$MARS $RBBP8 !$RNF7) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and($ADRA2A !$H6PD !$SCFD1) and(!$DDIT3 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-86, penalized score=-232.4666748046875, complexity=29, complexity penalty=9.66666698455810547, uniformity penalty=136.800003051757812, inconsistency penalty=0]
-72 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-72, penalized score=-234.88348388671875, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=0]
-70 or(and(or(and(or($GRSF1 $MARS) !$LSM1) and(!$CDKN1C $INPP1) !$ABCC5) or(and($DCUN1D1 $PTGER3) $HSPE1) or(!$DRG1 !$MARS $RBBP8)) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) or(!$HSPE1 !$PTN) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($IMPAD1 $SCFD1) $ELN) and($IMPA1 $MRPL13 !$UQCRB) $AQP1)  [score=-70, penalized score=-234.88348388671875, complexity=44, complexity penalty=14.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=0]
-73 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $MTHFD2) and(or(!$DCK !$XPOT) or(!$GRSF1 !$TMEM134) $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and(or($RBBP8 $SCFD1) $AQP1) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $ELN)  [score=-73, penalized score=-236.88348388671875, complexity=41, complexity penalty=13.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=0]
-75 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) !$MGST3 !$PNRC1 $TMEM134) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A $DCK) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-75, penalized score=-237.88348388671875, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=0]
-75 or(and(or(and(!$CDKN1C $INPP1) !$ABCC5 !$LSM1) or(!$DRG1 !$MARS $RBBP8) $HSPE1) and(or(and($CTSO $PFDN2) !$HIST3H2A) or(!$AURKA $TMEM134) !$MGST3 !$PNRC1) and(or($CCT3 $EFNA3) or($ENPP2 !$SCFD1 $TRIM29) $ADRA2A) and(or(!$GRSF1 !$TMEM134) !$DCK $PRKAG1) and(or(!$GSK3B !$HSPE1) !$DDIT3 !$ID1 !$RNF7) and($EFNA3 $ID1 $PRKAG1) and($IMPA1 $MRPL13 !$UQCRB) $AQP1 $ELN)  [score=-75, penalized score=-237.88348388671875, complexity=38, complexity penalty=12.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=0]
