-58 or(and(or(and(or(and($PFDN2 $STC2) $AQP1) $ENPP2 $SLC37A1) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-58, penalized score=-212.831146240234375, complexity=50, complexity penalty=16.6666679382324219, uniformity penalty=136.800003051757812, inconsistency penalty=1.36448144912719727]
-61 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$DDIT3 $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(!$DCK $RNF7))  [score=-61, penalized score=-214.01934814453125, complexity=43, complexity penalty=14.3333339691162109, uniformity penalty=136.800003051757812, inconsistency penalty=1.88601851463317871]
-68 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and($DCUN1D1 $PHF15 $UBE2V2) $ADRA2A) !$PDCD5) and(or($ADRA2A !$EFNA3 $ENPP2 !$MARS) or($DDIT3 $MTHFD2) $JAK1) and(or(!$CCNB2 !$PTN) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$DDIT3 $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(!$DCK $RNF7))  [score=-68, penalized score=-219.953765869140625, complexity=39, complexity penalty=13, uniformity penalty=136.800003051757812, inconsistency penalty=2.15376853942871094]
-57 or(and(or(and(or(and(or($COX6B1 $CX3CR1) $AQP1) and($PFDN2 $STC2)) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$HIST3H2A $MRPL13) !$DCK $RNF7))  [score=-57, penalized score=-225.550872802734375, complexity=51, complexity penalty=17, uniformity penalty=150.216812133789062, inconsistency penalty=1.33406007289886475]
-59 or(and(or(and(or(and($MB $PFDN2) $AQP1) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(!$DCK $RNF7))  [score=-59, penalized score=-226.392303466796875, complexity=47, complexity penalty=15.6666669845581055, uniformity penalty=150.216812133789062, inconsistency penalty=1.50882506370544434]
-59 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) and($CLUAP1 !$MGST3) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) $ADRA2A) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(!$DCK $RNF7))  [score=-59, penalized score=-226.6829833984375, complexity=48, complexity penalty=16, uniformity penalty=150.216812133789062, inconsistency penalty=1.46617090702056885]
-59 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(or(!$BIRC5 $UBE2V2) !$FAS $PHF15) and(or($FAS $STC2) $ADRA2A)) !$PDCD5) and(or(and(!$DDIT3 !$UBE2C) $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($GRSF1 $RBBP8) $JAK1) and(or(and(!$PTGER3 !$PTN) !$CCNB2) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(!$DCK $RNF7))  [score=-59, penalized score=-226.687957763671875, complexity=48, complexity penalty=16, uniformity penalty=150.216812133789062, inconsistency penalty=1.47114861011505127]
-100 or(and(or($ABAT !$PTN) or(!$AURKA $DRG1) or($ENPP2 $NTRK2) or($HSPE1 $PDLIM1)) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(!$COX17 $SF3B5) and(!$DCK $RNF7) and(!$PDCD5 $PHF15) $JAK1 !$SCFD1)  [score=-100, penalized score=-229.2764892578125, complexity=21, complexity penalty=7, uniformity penalty=118.974113464355469, inconsistency penalty=3.30237078666687012]
-66 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and($DDIT3 !$ID1) $MTHFD2) or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) $JAK1) and(or(and($PHF15 $UBE2V2) $ADRA2A) !$PDCD5) and(or(!$CCNB2 !$PTN) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or($CYC1 !$RFC4) !$DCK $RNF7) and(or(!$DDIT3 $SEPHS1 $SF3B5) !$COX17 !$CX3CR1))  [score=-66, penalized score=-232.19586181640625, complexity=42, complexity penalty=14, uniformity penalty=150.216812133789062, inconsistency penalty=1.97904133796691895]
-67 or(and(or(and(or($AQP1 $PFDN2) $ENPP2) $NTRK2) or(and(!$PHF15 $SF3B5) !$AURKA $DRG1) or($HSPE1 $PDLIM1)) and(or(and(!$EFNA3 !$SYNPO) $ADRA2A $ENPP2 !$MARS) or($DDIT3 $MTHFD2) $JAK1) and(or(and($PHF15 $UBE2V2) $ADRA2A) !$PDCD5) and(or(!$CCNB2 !$PTN) $PDCD5 !$RNF7 !$SCFD1) and(or(!$COX7A2 $SORBS2) !$EFNA3 !$ID1 $VPS39) and(or(!$DDIT3 $SEPHS1 $SF3B5) !$COX17 !$CX3CR1) and(!$DCK $RNF7))  [score=-67, penalized score=-232.426361083984375, complexity=39, complexity penalty=13, uniformity penalty=150.216812133789062, inconsistency penalty=2.20953869819641113]
-101 or(and(or(!$AURKA $DRG1) or($ENPP2 $NTRK2) or($HSPE1 $PDLIM1)) and(!$COX17 $SF3B5) and(!$DCK $RNF7) and(!$EFNA3 !$ID1 $SORBS2 $VPS39) and(!$PDCD5 $PHF15) $JAK1 !$SCFD1)  [score=-101, penalized score=-237.51263427734375, complexity=18, complexity penalty=6, uniformity penalty=126.820571899414062, inconsistency penalty=3.69205737113952637]
