time,gen,num_evals,elapsed,metapop_size,best_score,complexity,field_set_size,optim_steps,over_budget,n_pairs,mean_dst,std_dst,min_dst,max_dst,best_n_pairs,best_mean_dst,best_std_dst,best_min_dst,best_max_dst
0.0,1,13357,10,250,-99,19,0,14,0,0,-nan,0,1.79769e+308,-1.79769e+308,4950,0.616194,1.22503,0,7.48331
119.648,2,30449,130,250,-76,31,0,8,0,0,-nan,0,1.79769e+308,-1.79769e+308,4950,1.83594,2.25685,0,8.94427
462.127,3,52690,472,250,-66,40,0,7,0,0,-nan,0,1.79769e+308,-1.79769e+308,4950,3.27089,2.61543,0,9.53939
1081.361,4,77491,1092,250,-59,46,0,6,0,0,-nan,0,1.79769e+308,-1.79769e+308,4950,3.31899,2.49983,0,9.53939
1822.938,5,98692,1833,250,-57,49,0,3,0,0,-nan,0,1.79769e+308,-1.79769e+308,4950,3.43277,2.58635,0,9.69536
2098.975,6,100000,2109,250,-56,51,0,2,1,0,-nan,0,1.79769e+308,-1.79769e+308,4950,3.13757,1.84946,1,7.28011
